Title,Type,Genres,Director,Year,Rating,Plot,PCA1,PCA2
Spider-Man: Into the Spider-Verse,Movie,"Adventure, Animation, Action, Science Fiction","Bob Persichetti, Peter Ramsey",2018,5.0,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson “Kingpin” Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",0.2802009490009869,-0.061656571617024675
Everything Everywhere All at Once,Movie,"Science Fiction, Adventure, Comedy, Action","Daniel Scheinert, Daniel Kwan",2022,5.0,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what’s important to her by connecting with the lives she could have led in other universes.",0.4237667091794322,-0.14430298434004238
Elemental,Movie,"Comedy, Romance, Animation, Family",Peter Sohn,2023,3.5,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",-0.22916792615682724,-0.2802024256753011
Dune,Movie,"War, Science Fiction, Adventure",Denis Villeneuve,2021,5.0,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet’s exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity’s greatest potential-only those who can conquer their fear will survive.",0.2758665295577507,-0.062379487781240694
Midsommar,Movie,"Mystery, Drama, Horror",Ari Aster,2019,3.0,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",-0.13733647837676954,0.29144710828934484
Parasite,Movie,"Thriller, Comedy, Drama",Bong Joon Ho,2019,3.5,"All unemployed, Ki-taek’s family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",-0.27545376996887305,-0.04865219735308169
Searching,Movie,"Drama,Thriller, Mystery",Aneesh Chaganty,2018,3.5,"After David Kim’s 16-year-old daughter goes missing, a local investigation is opened and a detective is assigned to the case. But 37 hours later and without a single lead, David decides to search the one place no one has looked yet, where all secrets are kept today: his daughter’s laptop.",-0.20484481518568073,0.22427407241379455
Get Out,Movie,"Horror, Mystery, Thriller",Jordan Peele,2017,3.5,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family’s overly accommodating behavior as nervous attempts to deal with their daughter’s interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",-0.20547440634378125,0.4721761923621251
La La Land,Movie,"Drama, Comedy, Romance",Damien Chazelle,2016,3.5,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",-0.2689380934615983,-0.3124566697118382
Sing Street,Movie,"Romance, Drama, Music, Comedy",John Carney,2016,4.0,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,-0.26999566322588164,-0.3128375162265637
